10000 78408
0 1 0.100130
0 100 0.100130
0 101 0.000000
1 0 0.100130
1 2 0.224116
1 100 0.141421
1 101 0.100130
1 102 0.141774
2 1 0.224116
2 3 0.361366
2 101 0.200250
2 102 0.224109
2 103 0.283487
3 2 0.361366
3 4 0.500973
3 102 0.316804
3 103 0.361307
3 104 0.425066
4 3 0.500973
4 5 0.641290
4 103 0.447975
4 104 0.500846
4 105 0.566496
5 4 0.641290
5 6 0.781854
5 104 0.583882
5 105 0.641092
5 106 0.707782
6 5 0.781854
6 7 0.922541
6 105 0.721772
6 106 0.781613
6 107 0.848983
7 6 0.922541
7 8 1.063337
7 106 0.860682
7 107 0.922302
7 108 0.990174
8 7 1.063337
8 9 1.204273
8 107 1.000223
8 108 1.063149
8 109 1.131428
9 8 1.204273
9 10 1.345371
9 108 1.140232
9 109 1.204174
9 110 1.272792
10 9 1.345371
10 11 1.486626
10 109 1.280625
10 110 1.345378
10 111 1.414271
11 10 1.486626
11 12 1.628000
11 110 1.421324
11 111 1.486727
11 112 1.555831
12 11 1.628000
12 13 1.769435
12 111 1.562245
12 112 1.628166
12 113 1.697419
13 12 1.769435
13 14 1.910871
13 112 1.703300
13 113 1.769626
13 114 1.838978
14 13 1.910871
14 15 2.052262
14 113 1.844408
14 114 1.911051
14 115 1.980464
15 14 2.052262
15 16 2.193589
15 114 1.985507
15 115 2.052404
15 116 2.121861
16 15 2.193589
16 17 2.334851
16 115 2.126569
16 116 2.193677
16 117 2.263173
17 16 2.334851
17 18 2.476082
17 116 2.267588
17 117 2.334889
17 118 2.404438
18 17 2.476082
18 19 2.617325
18 117 2.408594
18 118 2.476083
18 119 2.545705
19 18 2.617325
19 20 2.758627
19 118 2.549630
19 119 2.617312
19 120 2.687024
20 19 2.758627
20 21 2.900025
20 119 2.690743
20 120 2.758623
20 121 2.828436
21 20 2.900025
21 22 3.041523
21 120 2.831969
21 121 2.900043
21 122 2.969948
22 21 3.041523
22 23 3.183091
22 121 2.973313
22 122 3.041561
22 123 3.111532
23 22 3.183091
23 24 3.324665
23 122 3.114744
23 123 3.183128
23 124 3.253126
24 23 3.324665
24 25 3.466171
24 123 3.256199
24 124 3.324671
24 125 3.394657
25 24 3.466171
25 26 3.607558
25 124 3.397602
25 125 3.466119
25 126 3.536074
26 25 3.607558
26 27 3.748824
26 125 3.538901
26 126 3.607447
26 127 3.677376
27 26 3.748824
27 28 3.890018
27 126 3.680094
27 127 3.748674
27 128 3.818610
28 27 3.890018
28 29 4.031225
28 127 3.821228
28 128 3.889879
28 129 3.959864
29 28 4.031225
29 30 4.172532
29 128 3.962388
29 129 4.031147
